year,tmID,W_team_post,L_team_post,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won_team,lost_team,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,coachID,stint,won_coach,lost_coach,post_wins,post_losses,CBE_Sum,height,weight,award_player,award_coach,playersAge
3,SEA,0.0,0.0,SEA,WE,8,Y,N,N,N,Seattle Storm,689,1821,415,606,128,412,306,585,891,412,605,273,431,127,1921,753,1750,417,559,125,325,296,756,1052,492,588,228,519,127,2048,10,22,32,5,11,5,11,6,15,6550,95257,KeyArena at Seattle Center,dunnli99wc,0,10,22,0,0,0.3555586494386471,71.15384615384616,160.92307692307693,0,0,26.84615384615381
3,UTA,0.0,2.0,SAS,WE,3,Y,L,N,N,Utah Starzz,811,1849,507,675,78,244,295,775,1070,524,622,202,493,156,2207,789,1976,489,660,125,429,344,630,974,478,645,275,390,148,2192,19,13,32,9,7,10,6,11,10,6475,110507,EnergySolutions Arena,harveca99w,0,14,5,0,2,0.33302919876797926,71.5,166.58333333333334,0,0,27.666666666666742
3,WAS,0.0,0.0,WAS,EA,8,Y,N,N,N,Washington Mystics,739,1915,333,504,117,418,356,699,1055,424,537,257,495,127,1928,791,1945,347,467,146,408,331,737,1068,487,543,261,454,103,2075,10,22,32,8,8,2,14,4,17,6500,246667,Verizon Center,stanlma99w,0,0,0,0,0,0.3415354506962698,73.0,171.63636363636363,0,1,26.545454545454504
4,CHA,0.0,2.0,CHA,EA,2,Y,L,N,N,Charlotte Sting,770,1790,490,663,211,527,302,653,955,496,647,241,408,105,2241,778,1807,444,598,133,372,295,620,915,489,600,208,424,103,2133,18,14,32,11,5,7,9,12,9,6450,106670,Charlotte Coliseum,laceytr99w,0,0,0,0,0,0.43691715192351344,71.18181818181819,164.45454545454547,0,0,28.818181818181756
4,CLE,0.0,0.0,CLE,EA,7,Y,N,N,N,Cleveland Rockers,760,1820,430,553,121,374,295,674,969,480,567,221,451,83,2071,797,1834,397,521,149,441,278,640,918,530,613,242,428,109,2140,10,22,32,4,12,6,10,7,14,6550,149084,Quicken Loans Arena,hugheda99w,0,10,22,0,0,0.4478216023410816,71.6,165.8,0,0,27.59999999999991
4,DET,0.0,0.0,DET,EA,8,Y,N,N,N,Detroit Shock,766,1919,472,651,110,364,360,719,1079,478,609,201,541,132,2114,828,1984,464,605,146,447,314,669,983,465,637,277,443,139,2266,9,23,32,7,9,2,14,6,15,6450,94171,The Palace of Auburn Hills,laimbbi01w,0,9,13,0,0,0.4057442815603037,72.23076923076923,165.69230769230768,0,1,26.076923076923094
4,HOU,1.0,2.0,HOU,WE,2,Y,L,N,N,Houston Comets,755,1778,453,585,109,332,299,702,1001,450,467,260,455,126,2072,705,1880,331,452,151,489,309,664,973,446,606,262,464,71,1892,24,8,32,14,2,10,6,16,5,6425,188648,Compaq Center,chancva99w,0,24,8,1,2,0.43187030570110735,71.75,162.16666666666666,2,0,29.5
4,IND,1.0,2.0,IND,EA,4,N,L,N,N,Indiana Fever,731,1825,455,580,180,543,315,633,948,447,559,268,438,100,2097,804,1817,359,503,162,464,288,644,932,507,647,226,470,145,2129,16,16,32,10,6,6,10,12,9,6425,134945,Conseco Fieldhouse,fortnne99w,0,16,16,1,2,0.390756326345146,71.3076923076923,164.23076923076923,1,0,28.769230769230717
4,LAS,6.0,0.0,LAS,WE,1,Y,W,W,W,Los Angeles Sparks,891,2002,476,645,194,515,329,814,1143,583,664,257,517,161,2452,796,2040,480,649,163,521,314,645,959,508,623,275,453,111,2235,25,7,32,12,4,13,3,17,4,6475,186410,Staples Center,coopemi01w,0,25,7,6,0,0.46453500720291907,72.73333333333333,172.66666666666666,6,0,29.933333333333394
4,MIN,0.0,0.0,MIN,WE,8,Y,N,N,N,Minnesota Lynx,727,1775,383,578,166,500,309,650,959,466,617,226,529,102,2003,747,1807,469,613,141,389,302,612,914,495,618,273,465,117,2104,10,22,32,7,9,3,13,6,15,6475,139874,Target Center,mcconsu01w,0,0,0,0,0,0.37843402675897686,73.4,172.2,0,0,27.5
